Tax Rate Information,GST Rate Information,,
Tax Identifier,GST Identifier,,
Zip/Post is Range,Zip/Post is Range,,
Zip/Post Code,Zip/Post Code,,
*' - matches any, 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.,*' - matches any, 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.
Range From,Range From,,
Range To,Range To,,
State,State,,
Country,Country,,
Rate Percent,Rate Percent,,
Tax Titles,GST Titles,,
Add New Tax Rate,Add New GST Rate,,
Back,Back,,
Reset,Reset,,
Delete Rate,Delete Rate,,
Are you sure you want to do this?,Are you sure you want to do this?,,
Save Rate,Save Rate,,
Manage Tax Rules,Manage GST Rules,,
Add New Tax Rule,Add New GST Rule,,
Save Rule,Save Rule,,
Delete Rule,Delete Rule,,
Save and Continue Edit,Save and Continue Edit,,
Tax Rule Information,GST Rule Information,,
Name,Name,,
Customer Tax Class,Customer GST Class,,
Product Tax Class,Product GST Class,,
Tax Rate,GST Rate,,
Priority,Priority,,
"Tax rates at the same priority are added, others are compounded.","GST rates at the same priority are added, others are compounded.",,
Calculate Off Subtotal Only,Calculate Off Subtotal Only,,
Sort Order,Sort Order,,
Do you really want to delete this tax class?,Do you really want to delete this GST class?,,
Add New Tax Class,Add New GST Class,,
Shipping Incl. Tax (%1),Shipping Incl. GST (%1),,
Shipping Excl. Tax (%1),Shipping Excl. GST (%1),,
Subtotal (Excl.Tax),Subtotal (Excl.GST),,
Subtotal (Incl.Tax),Subtotal (Incl.GST),,
Shipping & Handling (Excl.Tax),Shipping & Handling (Excl.GST),,
Shipping & Handling (Incl.Tax),Shipping & Handling (Incl.GST),,
Grand Total (Excl.Tax),Grand Total (Excl.GST),,
Grand Total (Incl.Tax),Grand Total (Incl.GST),,
Sales,Sales,,
Tax,GST,,
Manage Tax Rates,Manage GST Rates,,
New Tax Rate,New GST Rate,,
Tax Zones and Rates,GST Zones and Rates,,
We can\'t delete this tax rate right now.,We can\'t delete this GST rate right now.,,
An error occurred while loading this tax rate.,An error occurred while loading this GST rate.,,
We can\'t save this rate right now.,We can\'t save this rate right now.,,
You deleted the tax rate.,You deleted the GST rate.,,
We can\'t delete this rate because of an incorrect rate ID.,We can\'t delete this rate because of an incorrect rate ID.,,
Something went wrong deleting this rate.,Something went wrong deleting this rate.,,
Edit Tax Rate,Edit GST Rate,,
You saved the tax rate.,You saved the GST rate.,,
Tax Rules,GST Rules,,
The tax rule has been deleted.,The GST rule has been deleted.,,
This rule no longer exists.,This rule no longer exists.,,
Something went wrong deleting this tax rule.,Something went wrong deleting this GST rule.,,
New Tax Rule,New GST Rule,,
Edit Rule,Edit Rule,,
New Rule,New Rule,,
You saved the tax rule.,You saved the GST rule.,,
We can\'t save this tax rule right now.,We can\'t save this GST rule right now.,,
Invalid name of tax class specified.,Invalid name of GST class specified.,,
We can\'t delete this tax class right now.,We can\'t delete this GST class right now.,,
We can\'t save this tax class right now.,We can\'t save this GST class right now.,,
Make sure all required information is valid.,Make sure all required information is valid.,,
The Rate Percent should be a positive number.,The Rate Percent should be a positive number.,,
Maximum zip code length is 9.,Maximum zip code length is 9.,,
Use digits only for the zip code.,Use digits only for the zip code.,,
