SKU,Code
Sku,Code
sku,Code
"Wish List","Project List"
"Wish List Sharing","Project List Sharing"
"My Wish List","My Project List"
"%1's Wish List","%1's Project List"
"Page not found.","Page not found."
"We can't specify a product.","We can't specify a product."
"We can't add the item to Wish List right now: %1.","We can't add the item to Project List right now: %1."
"We can't add the item to Wish List right now.","We can't add the item to Project List right now."
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"This product(s) is out of stock.","This product(s) is out of stock."
"We can't add the item to the cart right now.","We can't add the item to the cart right now."
"We can't load the Wish List item right now.","We can't load the Project List item right now."
"We can't configure the product right now.","We can't configure the product right now."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to your wish list.","%1 has been moved to your Project List."
"We can't move the item to the wish list.","We can't move the item to the Project List."
"We can't delete the item from Wish List right now because of an error: %1.","We can't delete the item from Project List right now because of an error: %1."
"We can't delete the item from the Wish List right now.","We can't delete the item from the Project List right now."
"Message length must not exceed %1 symbols","Message length must not exceed %1 symbols"
"Please enter an email address.","Please enter an email address."
"This wish list can be shared %1 more times.","This Project List can be shared %1 more times."
"Please enter a valid email address.","Please enter a valid email address."
"Your wish list has been shared.","Your Project List has been shared."
"We can't delete item from Wish List right now.","We can't delete item from Project List right now."
"Can't save description %1","Can't save description %1"
"Can't update wish list","Can't update Project List"
"%1 has been updated in your Wish List.","%1 has been updated in your Project List."
"We can't update your Wish List right now.","We can't update your Project List right now."
"The requested Wish List doesn't exist.","The requested Project List doesn't exist."
"We can't create the Wish List right now.","We can't create the Project List right now."
"%1 items","%1 items"
"1 item","1 item"
Comment,Comment
"Display number of items in wish list","Display number of items in Project List"
"Display item quantities","Display item quantities"
"An item option with code %1 already exists.","An item option with code %1 already exists."
"We can't specify a wish list.","We can't specify a Project List."
"Cannot specify product.","Cannot specify product."
"Product is not salable.","Product is not salable."
"Invalid item option format.","Invalid item option format."
"%1 for ""%2"".","%1 for ""%2""."
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"We couldn't add the following product(s) to the shopping cart: %1.","We couldn't add the following product(s) to the shopping cart: %1."
"We can't update the Wish List right now.","We can't update the Project List right now."
"%1 product(s) have been added to shopping cart: %2.","%1 product(s) have been added to shopping cart: %2."
Comment:,Comment:
"We cannot retrieve the Wish List.","We cannot retrieve the Project List."
"%1's Wishlist","%1's Wishlist"
"We can't specify a wish list item.","We can't specify a Project List item."
"The product does not exist.","The product does not exist."
"Test Phrase","Test Phrase"
message,message
Message,Message
error-message,error-message
LocalizedException,LocalizedException
"Product Exception.","Product Exception."
"Localized Exception.","Localized Exception."
"Are you sure you want to remove this item?","Are you sure you want to remove this item?"
"Share Wish List","Share Project List"
"Add All to Cart","Add All to Cart"
"Update Wish List","Update Project List"
"Move to Wishlist","Move to Wishlist"
"Add to Wish List","Add to Project List"
"View Product","View Product"
Qty,Qty
"Add to Cart","Add to Cart"
Availability,Availability
"In stock","In stock"
"Out of stock","Out of stock"
Edit,Edit
"Remove Item","Remove Item"
"Remove item","Remove item"
"Add to Compare","Add to Compare"
"This Wish List has no Items","This Project List has no Items"
"%1 has been added to your Wish List.","%1 has been added to your Project List."
"Click <a href=""%1"">here</a> to continue shopping.","Click <a href=""%1"">here</a> to continue shopping."
"See Details","See Details"
"Options Details","Options Details"
"RSS link to %1's wishlist","RSS link to %1's wishlist"
"RSS Feed","RSS Feed"
Product,Product
Back,Back
"Wish List is empty now.","Project List is empty now."
"* Required Fields","* Required Fields"
"Sharing Information","Sharing Information"
"Email addresses, separated by commas","Email addresses, separated by commas"
"Check here to link an RSS feed to your Wish List.","Check here to link an RSS feed to your Project List."
"Last Added Items","Last Added Items"
"Remove This Item","Remove This Item"
"Go to Wish List","Go to Project List"
"You have no items in your wish list.","You have no items in your Project List."
"Take a look at %customer_name's Wish List","Take a look at %customer_name's Project List"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name wants to share this Project List from %store_name with you:"
"Message from %customer_name:","Message from %customer_name:"
"View all Wish List items","View all Project List items"
"Wish List Section","Project List Section"
"Share Options","Share Options"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Max Emails Allowed to be Sent","Max Emails Allowed to be Sent"
"Email Text Length Limit","Email Text Length Limit"
"General Options","General Options"
Enabled,Enabled
"My Wish List Link","My Project List Link"
"Display Wish List Summary","Display Project List Summary"
"Enable RSS","Enable RSS"
"No Items Found","No Items Found"
"Product Name","Product Name"
"User Description","User Description"
Quantity,Quantity
"Add Locale","Add Locale"
"Add Date","Add Date"
"Days in Wish List","Days in Project List"
Action,Action
Configure,Configure
Delete,Delete
"Product Details and Comment","Product Details and Comment"
Edit,Edit
Save in address book,Save in address book
You can create an account after checkout.,You can create an account after checkout.
You already have an account with us. Sign in or continue as guest.,You already have an account with us. Sign in or continue as guest.
Forgot Your Password?,Forgot Your Password?
Email Address,Email Address
Enter coupon code here,Enter coupon code here
Apply,Apply
Cancel,Cancel
Apply Discount,Apply Discount
* Required Fields,* Required Fields
Shipping Methods,Shipping Methods
Remove,Remove
My billing and shipping address are the same,My billing and shipping address are the same
Cancel,Cancel
Update,Update
Date to delivery:,Date to delivery:
Time to delivery:,Time to delivery:
Choose...,Choose...
Add a gift message to my order,Add a gift message to my order
To:,To:
From:,From:
Message:,Message:
Gift wrap,Gift wrap
Payment,Payment
Order Review,Order Review
Product,Product
Qty,Qty
Subtotal,Subtotal
Continue to PayPal,Continue to PayPal
