"Country Name","Region Name",Zone,"Zip From","Zip To","Weight From","Weight To","Volume From","Volume To","Profile Name","Shipping Price","Shipping Name"
AU,NSW,20,2000,2080,0,25,0,0.064,Standard,65.0000,"Next  Day by 8:00am"
AU,NSW,20,2000,2080,0,25,0,0.064,Bulky,80.0000,"Next  Day by 8:00am"
AU,NSW,20,2000,2080,0,25,0,0.064,Hoarding,80.0000,"Next  Day by 8:00am"
AU,NSW,20,2000,2080,0,25,0.065,0.192,Standard,80.0000,"Next  Day by 8:00am"
AU,NSW,20,2000,2080,0,25,0.065,0.192,Bulky,80.0000,"Next  Day by 8:00am"
AU,NSW,20,2000,2080,26,250,0,0.75,Standard,80.0000,"Next  Day by 8:00am"
AU,NSW,20,2000,2080,26,250,0,0.75,Bulky,80.0000,"Next  Day by 8:00am"
AU,NSW,20,2000,2080,251,500,0,0.75,Standard,80.0000,"Next  Day by 8:00am"
AU,NSW,20,2000,2080,0,25,0.065,0.192,Hoarding,95.0000,"Next  Day by 8:00am"
AU,NSW,20,2000,2080,26,250,0,0.75,Hoarding,95.0000,"Next  Day by 8:00am"
AU,NSW,20,2000,2080,251,500,0.751,3.5,Bulky,95.0000,"Next  Day by 8:00am"
AU,NSW,20,2000,2080,251,500,0.751,3.5,Hoarding,95.0000,"Next  Day by 8:00am"
AU,NSW,20,2000,2080,501,1000,0.751,3.5,Standard,95.0000,"Next  Day by 8:00am"
AU,NSW,20,2000,2080,501,1000,0.751,3.5,Bulky,95.0000,"Next  Day by 8:00am"
AU,NSW,20,2000,2080,501,1000,0.751,3.5,Hoarding,95.0000,"Next  Day by 8:00am"
AU,NSW,20,2000,2080,1001,2000,0.751,6.99,Standard,165.0000,"Next  Day by 8:00am"
AU,NSW,20,2000,2080,1001,2000,0.751,6.99,Bulky,165.0000,"Next  Day by 8:00am"
AU,NSW,20,2000,2080,2001,3999,7,15,Standard,245.0000,"Next  Day by 8:00am"
AU,NSW,20,2000,2080,2001,3999,7,15,Bulky,245.0000,"Next  Day by 8:00am"
AU,NSW,20,2084,2105,0,25,0,0.064,Standard,65.0000,"Next  Day by 8:00am"
AU,NSW,20,2084,2105,0,25,0,0.064,Bulky,80.0000,"Next  Day by 8:00am"
AU,NSW,20,2084,2105,0,25,0,0.064,Hoarding,80.0000,"Next  Day by 8:00am"
AU,NSW,20,2084,2105,0,25,0.065,0.192,Standard,80.0000,"Next  Day by 8:00am"
AU,NSW,20,2084,2105,0,25,0.065,0.192,Bulky,80.0000,"Next  Day by 8:00am"
AU,NSW,20,2084,2105,26,250,0,0.75,Standard,80.0000,"Next  Day by 8:00am"
AU,NSW,20,2084,2105,26,250,0,0.75,Bulky,80.0000,"Next  Day by 8:00am"
AU,NSW,20,2084,2105,251,500,0,0.75,Standard,80.0000,"Next  Day by 8:00am"
AU,NSW,20,2084,2105,0,25,0.065,0.192,Hoarding,95.0000,"Next  Day by 8:00am"
AU,NSW,20,2084,2105,26,250,0,0.75,Hoarding,95.0000,"Next  Day by 8:00am"
AU,NSW,20,2084,2105,251,500,0.751,3.5,Bulky,95.0000,"Next  Day by 8:00am"
AU,NSW,20,2084,2105,251,500,0.751,3.5,Hoarding,95.0000,"Next  Day by 8:00am"
